# cmd: kubectl exec gpu-health-wb -- nvidia-smi dmon -s pucvmet -c 20
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    2    699     62     63    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    3    699     62     60    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     20     10 
    4    698     67     63    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      8 
    5    698     57     57    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22      9 
    6    697     64     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    698     63     62    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    1    699     63     62    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    2    700     62     63    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22      9 
    3    698     62     61    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      8 
    4    699     67     64    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      9 
    5    698     56     57    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    6    699     64     60    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    696     63     62    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      9 
    1    700     63     62    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    2    699     62     62    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    3    699     62     62    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    4    699     67     64    100     42      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     20      9 
    5    698     56     56    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     23      9 
    6    698     64     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    697     63     63    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      9 
    1    699     63     63    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22     10 
    2    698     62     62    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22     10 
    3    698     62     61    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     20     10 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    4    695     68     64    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     20      9 
    5    699     57     57    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    6    696     64     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     23      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    697     63     62    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      9 
    1    700     63     62    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     22      9 
    2    697     63     63    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      9 
    3    699     63     62    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     21      8 
    4    697     67     64    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     20      8 
